CBSA Title,Best Match,Score
"Breckenridge, CO","Breckenridge, CO",100
"Bremerton-Silverdale-Port Orchard, WA","Bremerton, WA",50
"Brenham, TX","Beaumont, TX",67
"Brevard, NC","Brevard, NC",100
"Bridgeport-Stamford-Danbury, CT","Bridgeport, CT",60
"Brigham City, UT-ID","Boise City, ID",65
"Brookhaven, MS","Boston, MA",55
"Brookings, OR","Coos Bay, OR",61
"Brookings, SD","Rock Springs, WY",59
"Brownsville-Harlingen, TX","Brownsville, TX",74
"Brownwood, TX","Brownwood, TX",100
"Brunswick-St. Simons, GA","Brunswick, GA",71
"Bucyrus, OH","Bucyrus, OH",100
"Buffalo-Cheektowaga, NY","Buffalo, NY",62
"Burley, ID","Auburn, IN",56
"Burlington, IA-IL","Burlington, IA",90
"Burlington, NC","Burlington, NC",100
"Burlington-South Burlington, VT","Burlington, NC",56
"Butte-Silver Bow, MT","Butte, MT",59
"Cadillac, MI","Cadillac, MI",100
"Calhoun, GA","Calhoun, GA",100
"Cambridge, MD","Cambridge, MD",100
"Cambridge, OH","Cambridge, OH",100
"Camden, AR","Sacramento, CA",64
"Campbellsville, KY","Danville, KY",64
"Cañon City, CO","Ca-¦on City, CO",80
"Canton, IL","Canton, OH",78
"Canton-Massillon, OH","Canton, OH",64
"Cape Coral-Fort Myers, FL","Cape Coral, FL",70
"Cape Girardeau, MO-IL","Cape Girardeau, MO",92
"Carbondale, IL","Carbondale, IL",100
"Carlsbad-Artesia, NM","Carlsbad, NM",73
"Carroll, IA","Carbondale, IL",61
"Carson City, NV","Carson City, NV",100
"Casper, WY","Casper, WY",100
"Cedar City, UT","Cedar City, UT",100
"Cedar Rapids, IA","Cedar Rapids, IA",100
"Cedartown, GA","Cedartown, GA",100
"Celina, OH","Celina, OH",100
"Centralia, IL","Centralia, IL",100
"Centralia, WA","Centralia, WA",100
"Chambersburg, PA","Chambersburg, PA",100
"Champaign-Urbana, IL","Champaign, IL",77
"Charleston, WV","Charleston, WV",100
"Charleston-Mattoon, IL","Charleston, IL",76
"Charleston-North Charleston, SC","Charleston, SC",60
"Charlotte-Concord-Gastonia, NC-SC","Charleston, SC",58
"Charlottesville, VA","Charlottesville, VA",100
"Chattanooga, TN-GA","Chattanooga, TN",90
"Cheyenne, WY","Cheyenne, WY",100
"Chicago-Naperville-Elgin, IL-IN","Chicago, IL",50
"Chico, CA","Chico, CA",100
"Chillicothe, OH","Chillicothe, OH",100
"Cincinnati, OH-KY-IN","Cincinnati, OH",81
"Clarksburg, WV","Clarksburg, WV",100
"Clarksdale, MS","Clarksville, TN",67
"Clarksville, TN-KY","Clarksville, TN",90
"Clearlake, CA","Clearlake, CA",100
"Cleveland, MS","Cleveland, OH",83
"Cleveland, OH","Cleveland, OH",100
"Cleveland, TN","Cleveland, TN",100
"Clewiston, FL","Clewiston, FL",100
"Clinton, IA","Clinton, IA",100
"Clovis, NM","St. Louis, MO",60
"Coamo, PR","Ontario, OR",56
"Coco, PR","Concord, NH",59
"Cody, WY","Jackson, WY",59
"Coeur d'Alene, ID","Coeur d'Alene, ID",100
"Coldwater, MI","Coldwater, MI",100
"College Station-Bryan, TX","College Station, TX",86
"Colorado Springs, CO","Colorado Springs, CO",100
"Columbia, MO","Columbia, MO",100
"Columbia, SC","Columbia, SC",100
"Columbus, GA-AL","Columbus, GA",88
